EstadoCivil;Curso;QualificacaoAnterior;QualificacaoAnteriorGrau;Nacionalidade;NotaAdmissao;NecessidadesEspeciais;Devedor;MensalidadesEmDia;Genero;Bolsista;International;UnidadesCurriculares1SemestreCreditado;UnidadesCurriculares1SemestreInscrito;UnidadesCurriculares1SemestreAvaliacoes;UnidadesCurriculares1SemestreAprovado;UnidadesCurriculares1SemestreGrau;UnidadesCurriculares1SemestreSemAvaliacoes;UnidadesCurriculares2SemestreCreditado;UnidadesCurriculares2SemestreInscrito;UnidadesCurriculares2SemestreAvaliacoes;UnidadesCurriculares2SemestreAprovado;UnidadesCurriculares2SemestreGrau;UnidadesCurriculares2SemestreSemAvaliacoes;TaxaDesemprego;TaxaInflacao;PIB;Target
Solteiro;Design de Animação e Multimédia;Ensino Secundário;122;Português;127,3;0;0;1;Masculino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,8;1,4;1,74;Desistente
Solteiro;Turismo;Ensino Secundário;160;Português;142,5;0;0;0;Masculino;0;0;0;6;6;6;14;0;0;6;6;6;1,36667E+16;0;13,9;-0,3;0,79;Graduado
Solteiro;Design de Comunicação;Ensino Secundário;122;Português;124,8;0;0;0;Masculino;0;0;0;6;0;0;0;0;0;6;0;0;0;0;10,8;1,4;1,74;Desistente
Solteiro;Jornalismo e Comunicação;Ensino Secundário;122;Português;119,6;0;0;1;Feminino;0;0;0;6;8;6;1,34286E+16;0;0;6;10;5;12,4;0;9,4;-0,8;-3,12;Graduado
Casado;Serviço Social (prestação nocturna);Ensino Secundário;100;Português;141,5;0;0;1;Feminino;0;0;0;6;9;5;1,23333E+16;0;0;6;6;6;13;0;13,9;-0,3;0,79;Graduado
Casado;Gestão (presencial noturno);Ensino Básico (3º Ciclo);133,1;Português;114,8;0;1;1;Masculino;0;0;0;5;10;5;1,18571E+16;0;0;5;17;5;11,5;5;16,2;0,3;-0,92;Graduado
Solteiro;Enfermagem;Ensino Secundário;142;Português;128,4;0;0;1;Feminino;1;0;0;7;9;7;13,3;0;0;8;8;8;14345;0;15,5;2,8;-4,06;Graduado
Solteiro;Turismo;Ensino Secundário;119;Português;113,1;0;0;0;Masculino;0;0;0;5;5;0;0;0;0;5;5;0;0;0;15,5;2,8;-4,06;Desistente
Solteiro;Serviço Social;Ensino Secundário;137;Romeno;129,3;0;0;1;Feminino;1;1;0;6;8;6;13875;0;0;6;7;6;1,41429E+16;0;16,2;0,3;-0,92;Graduado
Solteiro;Serviço Social;Ensino Secundário;138;Português;123;0;1;0;Feminino;0;0;0;6;9;5;11,4;0;0;6;14;2;13,5;0;8,9;1,4;3,51;Desistente
Solteiro;Gestão de Publicidade e Marketing;Ensino Secundário;139;Português;130,6;0;0;1;Feminino;0;0;0;6;6;6;1,23333E+16;0;0;6;7;5;14,2;0;13,9;-0,3;0,79;Graduado
Solteiro;Enfermagem;Ensino Secundário;136;Português;119,3;0;0;1;Feminino;1;0;0;8;8;7;1,32143E+16;0;0;8;8;7;1,32143E+16;0;12,7;3,7;-1,7;Graduado
Solteiro;Ensino Básico;Ensino Secundário;133;Português;130,2;0;0;1;Feminino;0;0;0;6;6;0;0;0;0;6;0;0;0;0;12,7;3,7;-1,7;Desistente
Solteiro;Turismo;Curso Técnico Superior Profissional;110;Português;111,8;0;0;1;Feminino;1;0;0;6;7;6;1,05714E+16;0;0;6;8;5;11;0;8,9;1,4;3,51;Graduado
Solteiro;Enfermagem Veterinária;Ensino Secundário;149;Português;137,1;0;0;1;Feminino;1;0;0;5;7;4;13,25;0;0;5;5;5;12;0;10,8;1,4;1,74;Graduado
Solteiro;Jornalismo e Comunicação;Ensino Secundário;127;Português;120,7;0;0;1;Feminino;0;0;0;6;6;5;13,2;0;0;6;7;0;0;0;15,5;2,8;-4,06;Desistente
Solteiro;Serviço Social;Ensino Secundário;137;Português;137,4;0;0;1;Feminino;0;0;0;6;10;1;12;0;0;6;14;2;11;0;10,8;1,4;1,74;Matriculado
Solteiro;Enfermagem;Ensino Secundário;135;Português;127,3;0;0;1;Feminino;0;0;0;7;8;7;1330625;0;0;8;8;8;14545;0;15,5;2,8;-4,06;Graduado
Solteiro;Equincultura;Ensino Secundário;137;Português;136,3;0;0;1;Feminino;0;0;0;5;8;4;12,5;1;0;5;8;4;12,25;2;10,8;1,4;1,74;Graduado
Solteiro;Ensino Básico;Ensino Secundário;140;Português;124,6;0;0;1;Feminino;0;0;0;7;7;6;1,16667E+16;0;0;7;8;6;13,5;0;16,2;0,3;-0,92;Matriculado
Solteiro;Design de Animação e Multimédia;Ensino Secundário;122;Português;120,3;0;0;1;Feminino;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11,1;0,6;2,02;Graduado
Solteiro;Higiene Oral;Ensino Secundário;127;Português;121,8;0;0;1;Feminino;0;0;0;7;14;7;114375;0;0;8;9;8;11425;0;12,7;3,7;-1,7;Matriculado
Solteiro;Enfermagem;Ensino Secundário;142;Português;125,5;0;0;1;Feminino;0;0;0;8;12;7;1,28571E+16;0;0;8;12;7;1,28571E+16;0;12,7;3,7;-1,7;Graduado
Solteiro;Gestão de Publicidade e Marketing;Ensino Secundário;125;Português;114,9;0;0;1;Feminino;1;0;0;6;8;6;13375;0;0;6;7;6;1,22857E+16;0;11,1;0,6;2,02;Graduado
Solteiro;Enfermagem;Ensino Secundário;126;Português;123,9;0;0;1;Feminino;0;0;0;7;8;6;1,32967E+16;0;0;8;9;7;1,41143E+16;0;11,1;0,6;2,02;Graduado
Solteiro;Serviço Social;Ensino Secundário;151;Português;157;0;1;1;Feminino;1;0;0;6;8;5;11,6;0;0;6;12;4;11;0;7,6;2,6;0,32;Matriculado
Solteiro;Serviço Social;Ensino Secundário;115;Português;116,4;0;0;1;Feminino;0;0;0;6;9;6;11375;0;0;6;9;6;1,32857E+16;0;16,2;0,3;-0,92;Graduado
